product_id,product_name,product_quantity,selling_price,cost_price
10,HB Pencil,500,20,12
11,Lead Pencil 0.5mm,300,120,85
12,Blue Ball Pen,800,25,15
13,Black Ball Pen,750,25,15
14,Red Ball Pen,400,25,15
15,Gel Pen Blue,350,45,30
16,Gel Pen Black,300,45,30
17,Fountain Pen,120,350,250
18,Permanent Marker,200,150,110
19,Whiteboard Marker,250,120,80
20,Highlighter Yellow,180,110,75
21,Highlighter Pink,180,110,75
22,Highlighter Blue,160,110,75
23,A4 Size Register,300,220,160
24,Long Register (300 pages),250,260,190
25,Spiral Notebook Small,350,90,60
26,Spiral Notebook Large,300,150,110
27,Sketch Book,120,300,230
28,Drawing Book,150,180,130
29,Ink Bottle Blue,100,180,130
30,Geometry Box,200,300,220
31,Eraser Small,500,15,8
32,Eraser Large,350,30,18
33,Sharpener Small,400,20,12
34,Sharpener Metal,250,60,40
35,Ruler 6 inch,350,25,15
36,Ruler 12 inch,300,40,25
37,Glue Stick Small,260,80,55
38,Glue Stick Large,200,130,90
39,White Glue Bottle,180,150,110
40,Scissors Small,150,150,100
41,Scissors Large,120,220,160
42,Stapler Small,160,180,130
43,Stapler Large,130,300,220
44,Stapler Pins Small,500,40,25
45,Stapler Pins Large,450,70,45
46,A4 Paper 80gsm (500 sheets),100,1100,900
47,A4 Paper 70gsm (500 sheets),120,950,750
48,Colored Paper Pack,150,300,220
49,Sticky Notes Small,250,120,80
50,Sticky Notes Large,220,180,120
51,Index Divider Set,130,250,180
52,File Folder Plastic,300,60,40
53,File Folder Cardboard,250,50,30
54,Box File,200,250,180
55,Calculator Basic,120,650,480
56,Calculator Scientific,80,1600,1200
57,Packing Tape,180,160,120
58,Masking Tape,200,120,80
59,Correction Pen,160,90,60
60,Correction Tape,150,150,110
61,Mechanical Pencil 0.7mm,250,180,130
62,Pencil Colors 12-Pack,180,350,260
63,Pencil Colors 24-Pack,120,600,450
64,Crayons 12-Pack,200,200,140
65,Crayons 24-Pack,150,350,250
66,Oil Pastels 12-Pack,160,280,200
67,Oil Pastels 24-Pack,120,480,350
68,Paint Brush Set,100,250,180
69,Watercolor Set,120,350,250
70,Poster Colors,110,300,220
71,Glitter Pack,150,180,120
72,Chart Paper,500,40,25
73,Graph Paper Pack,200,180,130
74,Canvas Sheet Small,100,250,180
75,Canvas Sheet Large,80,450,330
76,Envelopes Small,350,50,30
77,Envelopes Large,300,80,50
78,Brown Paper Roll,120,300,220
79,Transparent Sheet,200,70,45
80,Laminating Pouches Small,180,350,260
81,Laminating Pouches Large,120,600,450
82,Binder Clips Small,250,80,50
83,Binder Clips Medium,220,120,80
84,Binder Clips Large,200,150,100
85,Paper Clips Small,400,30,18
86,Paper Clips Large,350,50,30
87,Push Pins,200,80,50
88,Thumb Tacks,180,70,40
89,Drawing Pins,160,90,60
90,Sticky Tape Small,250,40,25
91,Sticky Tape Large,220,70,45
92,Double-Sided Tape,160,200,150
93,Transparent Ruler 12 inch,180,45,30
94,Metal Ruler 12 inch,150,70,50
95,Cutter Small,160,90,60
96,Cutter Large,130,180,130
97,Cutter Blades Pack,180,120,80
98,Pencil Grip Pack,200,70,40
99,Sticky Note Flags,150,160,110
100,Desk Organizer Small,120,400,300
101,Desk Organizer Large,90,650,500
102,Mini Whiteboard,100,550,420
103,Whiteboard Duster,150,150,100
104,Whiteboard Sheet Roll,80,1200,900
105,Pen Holder,200,200,140
106,Correction Fluid Bottle,180,80,50
107,Index Cards Pack,200,180,130
108,Sticky Label Sheets,180,250,180
109,Keychain Tags Pack,150,200,140
110,Name Badge Holder,160,150,110
